"city","country","year","green_area_pc","temperature","temp_norm"
"Sydney","Australia",2000,224.9482989,17.5571584699454,-1.14928426816139
"Melbourne","Australia",2000,152.187728,14.4487978142076,-0.377869091841373
"Brisbane","Australia",2000,1158.07590975,19.507349726776,-1.38500163469186
"Perth","Australia",2000,78.1335828,18.5579781420765,0.244248866606797
"Adelaide","Australia",2000,37.13793111,15.9198087431694,0.646072768265739
"Vienna","Austria",2000,620.1498578,11.1570765027322,0.883251569547269
"Brussels","Belgium",2000,738.42138756,11.1206010928962,0.50570131266107
"Antwerp","Belgium",2000,331.43467599,11.2874590163934,0.461418229656399
"Liege","Belgium",2000,357.40359732,10.4584699453552,0.52836271662055
"Vancouver","Canada",2000,244.495016,9.4118306010929,-0.687840133813128
"Montreal","Canada",2000,3130.35671925,6.3848087431694,-1.20050874064372
"Toronto","Canada",2000,9016.11765365,8.0031693989071,-0.662558543643485
"Edmonton","Canada",2000,6261.3824372,2.33568306010929,-1.08451165255165
"Calgary","Canada",2000,1492.94897815,3.26188524590164,-1.23841125660841
"Winnipeg","Canada",2000,3741.06839784,3.00265027322404,-0.27242151880558
"Quebec","Canada",2000,1376.820447,4.26674863387978,-0.921784578051572
"Hamilton","Canada",2000,1722.42118256,8.33991803278689,-0.741333825073397
"Zurich","Switzerland",2000,334.8669948,10.2216393442623,0.817145282680091
"Geneva","Switzerland",2000,551.45848624,9.60013661202186,0.300410432092746
"Basel","Switzerland",2000,286.56842514,10.5350546448087,0.911628578657355
"Santiago","Chile",2000,116.76636972,13.5318852459016,0.146833122859146
"Prague","Czech Republic",2000,504.43954392,10.2075136612022,0.935824459560092
"Berlin","Germany",2000,906.28538956,10.5543989071038,1.07141879770628
"Hamburg","Germany",2000,2750.63526459,10.0026775956284,0.526227317445479
"Munich","Germany",2000,1601.13929101,9.8144262295082,0.730953954133133
"Cologne","Germany",2000,135.44954332,11.022131147541,0.631973901669739
"Frankfurt","Germany",2000,253.73203218,10.6884426229508,0.39792693622974
"Stuttgart","Germany",2000,346.6713726,10.3443989071038,0.829358258302473
"Essen","Germany",2000,31.33852672,10.9462841530055,0.682920456114628
"Leipzig","Germany",2000,304.1711971,10.6509016393443,1.00729115043347
"Dresden","Germany",2000,430.82180724,9.82147540983607,1.08446527084352
"Dortmund","Germany",2000,53.0248635,10.6935519125683,0.782754017522882
"Bremen","Germany",2000,1460.11087291,10.3562021857924,0.553333809257204
"Nuremberg","Germany",2000,792.51757082,9.86751366120219,0.85143131358369
"Bonn","Germany",2000,86.50636002,10.7691256830601,0.614075540938431
"Duisburg","Germany",2000,101.53540588,11.1598087431694,0.616401624330225
"Mannheim","Germany",2000,103.4671025,11.0937431693989,0.43830080549643
"Copenhagen","Denmark",2000,761.8159594,9.31494535519126,0.604094228603658
"Tallinn","Estonia",2000,779.42751612,7.06743169398907,1.02778959550407
"Madrid","Spain",2000,171.4982535,14.9531147540984,-0.127063368307939
"Barcelona","Spain",2000,8.81038857,15.8092349726776,-0.662752321235477
"Zaragoza","Spain",2000,46.58425455,15.6648360655738,-0.453253612816691
"Bilbao","Spain",2000,210.36171264,13.427349726776,-0.131504695312658
"Helsinki","Finland",2000,115.9113869,6.38781420765027,0.719536062033121
"Paris","France",2000,1070.47225499,11.6003005464481,0.156760205939245
"Lyon","France",2000,924.52822695,12.3097540983607,0.195849149538781
"Marseille","France",2000,82.65113012,15.4912295081967,0.273157655533219
"Toulouse","France",2000,218.30839326,13.826393442623,-0.146384925044177
"Bordeaux","France",2000,1479.64278687,13.9966666666667,0.200719716654477
"Lille","France",2000,55.3880077,11.2517759562842,0.363660059969758
"Nice","France",2000,195.55305752,14.1349453551913,-0.276575873842637
"Athens","Greece",2000,3.42906531,17.5868852459016,-0.876902520456794
"Budapest","Hungary",2000,1187.067069,11.6520765027322,0.715261714957383
"Dublin","Ireland",2000,35.84193942,9.81371584699454,-0.449660425990198
"Rome","Italy",2000,932.69927688,16.2394535519126,0.562931016499677
"Milan","Italy",2000,93.15986211,14.2884699453552,0.200778736428192
"Naples","Italy",2000,46.14494508,17.0675136612022,0.646178812744895
"Turin","Italy",2000,423.7419159,12.172349726776,-0.512265522708965
"Palermo","Italy",2000,41.8571703,17.8443715846995,0.252174410873065
"Florence","Italy",2000,366.63660495,13.962349726776,0.794713743818349
"Catania","Italy",2000,22.1092362,18.0565846994536,-0.0750079590898782
"Sendai","Japan",2000,39.06659523,12.6366120218579,-0.0554609949101702
"Sapporo","Japan",2000,369.849848,7.46920765027322,-0.479681482665218
"Tokyo","Japan",2000,163.64656597,15.8932513661202,-0.0617576378890586
"Nagoya","Japan",2000,48.49211696,15.8113114754098,-0.719474450379604
"Osaka","Japan",2000,189.07163516,16.5020491803279,-0.13713617124842
"Fukuoka","Japan",2000,16.74412765,16.8546721311475,-0.565251083605904
"Niigata","Japan",2000,169.58494371,14.268087431694,0.604464497340509
"Nagano","Japan",2000,136.09292336,9.74245901639344,-0.671828292970538
"Kanazawa","Japan",2000,94.44691203,14.0204644808743,0.289697186333635
"Utsunomiya","Japan",2000,72.34372704,14.0159016393443,0.139470643163293
"Shizuoka","Japan",2000,9.44346085,15.4536612021858,-0.429586259867959
"Hamamatsu","Japan",2000,20.82322752,16.6151912568306,-0.154006244439043
"Okayama","Japan",2000,74.6978611,16.48,-0.211224132436422
"Hiroshima","Japan",2000,16.31539475,15.105956284153,-0.735106052198663
"Kumamoto","Japan",2000,23.181353,16.3880327868852,-0.631133286695848
"Kagoshima","Japan",2000,8.5860519,18.0710382513661,-0.116536705597134
