,WHO Region,ISO3,WHO Country Name,city,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Reference,Number and type of monitoring stations,Version of the database,Status,V,T,W
34,European Region,DEU,Germany,Hamburg,2013,14.03,20.59,30.96,,,98.2547676617647,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
35,European Region,DEU,Germany,Hamburg,2014,15.52,22.76,30.45,,,98.3803384370588,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
36,European Region,DEU,Germany,Hamburg,2015,14.3,20.55,30.23,,,96.9856298688235,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
37,European Region,DEU,Germany,Hamburg,2016,14.01,18.96,31.67,,,99.057946265,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
38,European Region,DEU,Germany,Hamburg,2017,13.7,18.48,30.18,,,99.2511415526666,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
39,European Region,DEU,Germany,Hamburg,2018,13.21,21.0,29.63,,,99.2990867573333,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
40,European Region,DEU,Germany,Hamburg,2019,11.49,18.95,27.21,,,99.2016742773333,European Environment Agency (downloaded in 2021),,2022,,2750.63363296333,9.65657807720138,3120127503.21158
41,European Region,DEU,Germany,Köln,2010,,25.71,43.4,,89.6423333333333,89.3756666666666,European Environment Agency (downloaded in 2021),"2 suburban, 4 urban",2022,,135.449316089333,10.6708187139756,92599486.6538831
42,European Region,DEU,Germany,Köln,2013,,,46.6,,,99.5765877954545,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
43,European Region,DEU,Germany,Köln,2014,,,47.05,,,99.0867579911111,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
44,European Region,DEU,Germany,Köln,2015,,,44.76,,,82.904109587,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
45,European Region,DEU,Germany,Köln,2016,,,44.75,,,98.60655738,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
46,European Region,DEU,Germany,Köln,2017,,,42.88,,,84.93150685,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
47,European Region,DEU,Germany,Köln,2018,,,42.24,,,97.9312531711111,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
48,European Region,DEU,Germany,Köln,2019,,,37.03,,,100.0,European Environment Agency (downloaded in 2021),,2022,,135.449316089333,10.6708187139756,92599486.6538831
49,European Region,DEU,Germany,Leipzig,2010,18.92,28.17,38.14,97.123,97.5274,98.7406666666666,European Environment Agency (downloaded in 2021),10 urban,2022,,304.171333461333,9.99417847144247,194875311.052031
50,European Region,DEU,Germany,Leipzig,2013,15.79,25.44,,,,,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
51,European Region,DEU,Germany,Leipzig,2014,16.35,25.79,31.3,,,98.71004566,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
52,European Region,DEU,Germany,Leipzig,2015,13.62,22.84,33.07,,,99.06392694,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
53,European Region,DEU,Germany,Leipzig,2016,13.13,21.72,33.43,,,98.85777171,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
54,European Region,DEU,Germany,Leipzig,2017,12.81,20.4,30.82,,,99.3835616433333,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
55,European Region,DEU,Germany,Leipzig,2018,13.69,22.8,32.15,,,99.2199391133333,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
56,European Region,DEU,Germany,Leipzig,2019,10.56,18.15,27.38,,,99.4520547966666,European Environment Agency (downloaded in 2021),,2022,,304.171333461333,9.99417847144247,194875311.052031
57,European Region,DEU,Germany,Stuttgart,2010,20.98,28.75,67.27,97.1686666666666,99.4035,95.201,European Environment Agency (downloaded in 2021),16 urban,2022,,346.676089003333,9.88531469920403,16919764.6985343
58,European Region,DEU,Germany,Stuttgart,2013,17.21,27.54,51.64,,95.61643836,95.61643836,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
59,European Region,DEU,Germany,Stuttgart,2014,14.99,25.68,61.48,,100.0,98.200913242,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
60,European Region,DEU,Germany,Stuttgart,2015,14.82,25.92,61.38,,,98.280821916,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
61,European Region,DEU,Germany,Stuttgart,2016,14.51,24.85,58.81,,,98.306010928,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
62,European Region,DEU,Germany,Stuttgart,2017,13.84,23.79,54.5,,,97.477168948,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
63,European Region,DEU,Germany,Stuttgart,2018,12.57,22.8,49.63,,,98.25570776,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
64,European Region,DEU,Germany,Stuttgart,2019,11.43,21.09,41.54,,,97.630136988,European Environment Agency (downloaded in 2021),,2022,,346.676089003333,9.88531469920403,16919764.6985343
