"country","year","city","val_idx","V","P","T"
"Germany",2012,"Leipzig",11,304.17211612,26,9.88551912568306
"Germany",2012,"Mannheim",11,103.46671554,19,10.8433333333333
"Germany",2012,"München",11,1601.1526896,22,9.4224043715847
"Germany",2012,"Stuttgart",11,346.6765791,19,9.90079234972678
"Germany",2013,"Berlin",12,906.29961162,22.3333333333333,9.38361643835616
"Germany",2013,"Bremen",12,1460.10485325,21,9.37323287671233
"Germany",2013,"Dortmund",12,53.02068408,22,9.58539726027397
"Germany",2013,"Dresden",12,430.82076924,27,8.50613698630137
"Germany",2013,"Frankfurt",12,253.72020191,22,9.78082191780822
"Germany",2013,"Leipzig",12,304.16813166,25.3333333333333,9.33293150684931
"Germany",2013,"Mannheim",12,103.46589112,19,10.0466301369863
"Germany",2013,"München",12,1601.14189718,23,8.97679452054795
"Germany",2013,"Stuttgart",12,346.6827536,20,9.26605479452055
"Germany",2014,"Berlin",13,906.305652,25.3333333333333,10.8840547945205
"Germany",2014,"Bremen",13,1460.11234032,23.5,11.1401643835616
"Germany",2014,"Dortmund",13,53.02023342,20,11.2822739726027
"Germany",2014,"Dresden",13,430.818128,27,10.2752054794521
"Germany",2014,"Frankfurt",13,253.73642976,21.5,11.4294520547945
"Germany",2014,"Leipzig",13,304.17039294,26.3333333333333,11.017698630137
"Germany",2014,"Mannheim",13,103.4662116,18,11.781698630137
"Germany",2014,"München",13,1601.12545935,20.5,10.2731506849315
"Germany",2014,"Stuttgart",13,346.67421228,18,10.9350136986301
