"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;32;37
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;28;14
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;25;20
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;26;10
Brandenburg;DEBB059;"Nauen, Berliner Straße";"urban area";traffic;24;9
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"urban area";traffic;26;21
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;25;10
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;26;10
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;28;14
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;30;21
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;28;10
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;31;24
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;27;12
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"urban area";traffic;21;7
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"urban area";traffic;21;11
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;24;10
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;25;12
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;27;14
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;30;21
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;34;43
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;41;88
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"urban area";traffic;32;39
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;30;41
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;24;10
Baden-Württemberg;DEBW126;"Karlsruhe Kriegsstraße";"urban area";traffic;24;11
Baden-Württemberg;DEBW127;"Freiburg Zähringer Straße";"urban area";traffic;23;14
Baden-Württemberg;DEBW130;"Pforzheim Jahnstraße";"urban area";traffic;24;10
Baden-Württemberg;DEBW132;"Heilbronn Weinsberger Straße (S)";"urban area";traffic;30;32
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"urban area";traffic;30;33
Baden-Württemberg;DEBW135;"Herrenberg Hindenburger Straße";"urban area";traffic;28;25
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;27;30
Baden-Württemberg;DEBW138;"Ulm Zinglerstraße";"urban area";traffic;29;26
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"urban area";traffic;35;51
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;23;10
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;32;36
Bavaria;DEBY010;Bayreuth/Rathaus;"urban area";traffic;21;1
Bavaria;DEBY014;Coburg/Lossaustraße;"urban area";traffic;21;7
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;21;9
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;22;9
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;23;13
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;23;21
Bavaria;DEBY037;München/Stachus;"urban area";traffic;29;21
Bavaria;DEBY053;Nürnberg/Bahnhof;"urban area";traffic;23;11
Bavaria;DEBY054;Nürnberg/Ziegelsteinstraße;"urban area";traffic;21;6
Bavaria;DEBY056;Fürth/Theresienstraße;"urban area";traffic;24;11
Bavaria;DEBY063;Regensburg/Rathaus;"urban area";traffic;27;20
Bavaria;DEBY076;Würzburg/Kardinal-Faulhaber-Platz;"urban area";traffic;22;7
Bavaria;DEBY085;München/Luise-Kiesselbach-Platz;"urban area";traffic;26;17
Bavaria;DEBY110;Augsburg/Karlstraße;"urban area";traffic;29;30
Bavaria;DEBY111;Bayreuth/Hohenzollernring;"urban area";traffic;24;8
Bavaria;DEBY114;München/Prinzregentenstraße;"urban area";traffic;25;14
Bavaria;DEBY115;"München/Landshuter Allee";"urban area";traffic;37;61
Bavaria;DEBY116;Erlangen/Pfarrstraße;"urban area";traffic;22;9
Bavaria;DEBY119;"Würzburg/Stadtring Süd";"urban area";traffic;24;9
Bavaria;DEBY120;Nürnberg/Von-der-Tann-Straße;"urban area";traffic;27;18
Bremen;DEHB006;Bremen-Dobben;"urban area";traffic;34;34
Bremen;DEHB007;"Bremen Verkehr 2";"urban area";traffic;37;64
Bremen;DEHB011;"Bremerhaven-Cherbourger Straße";"urban area";traffic;31;19
Hesse;DEHE037;"Wiesbaden Ringkirche";"urban area";traffic;23;8
Hesse;DEHE040;"Darmstadt Hügelstraße";"urban area";traffic;27;22
Hesse;DEHE041;"Frankfurt Friedberger Landstraße";"urban area";traffic;27;22
Hesse;DEHE049;"Kassel Fünffensterstraße";"urban area";traffic;29;22
Hesse;DEHE059;"Fulda Petersberger Straße";"urban area";traffic;25;7
Hesse;DEHE061;"Gießen Westanlage";"urban area";traffic;25;11
Hesse;DEHE062;"Marburg Universitätsstraße";"urban area";traffic;21;5
Hesse;DEHE063;"Heppenheim Lehrstraße";"urban area";traffic;23;12
Hamburg;DEHH026;"Hamburg Stresemannstraße";"urban area";traffic;23;5
Hamburg;DEHH068;"Hamburg Habichtstraße";"urban area";traffic;30;19
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"urban area";traffic;27;9
"Mecklenburg-West Pomerania";DEMV003;Neubrandenburg;"urban area";traffic;18;4
"Mecklenburg-West Pomerania";DEMV006;Stralsund;"urban area";traffic;19;5
"Mecklenburg-West Pomerania";DEMV020;"Rostock Am Strande";"urban area";traffic;27;11
"Mecklenburg-West Pomerania";DEMV022;Rostock-Holbeinplatz;"urban area";traffic;21;5
