"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;41;89
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;37;65
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;31;54
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;35;56
Brandenburg;DEBB069;"Belzig, Niemegker Str.";"urban area";traffic;28;19
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;36;58
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;38;74
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;37;55
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;37;73
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;32;42
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"urban area";traffic;26;17
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"urban area";traffic;28;26
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;30;22
Baden-Württemberg;DEBW097;Freiburg-Straße;"urban area";traffic;26;15
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;32;43
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;35;37
Baden-Württemberg;DEBW114;"Schwäbisch Gmünd Lorcher Straße (S)";"urban area";traffic;36;51
Baden-Württemberg;DEBW115;"Mannheim Luisenring";"urban area";traffic;33;43
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;38;62
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;41;79
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;55;187
Baden-Württemberg;DEBW119;"Stuttgart Siemensstraße (S)";"urban area";traffic;37;51
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"urban area";traffic;27;16
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;36;55
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;33;21
Baden-Württemberg;DEBW123;"Reutlingen Lederstraße (S)";"urban area";traffic;28;17
Baden-Württemberg;DEBW140;"Mannheim Seckenheim (S)";"urban area";traffic;26;16
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;30;29
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;37;60
Bavaria;DEBY010;Bayreuth/Rathaus;"urban area";traffic;28;19
Bavaria;DEBY014;Coburg/Lossaustraße;"urban area";traffic;25;15
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;28;35
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;26;26
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;30;39
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;26;28
Bavaria;DEBY037;München/Stachus;"urban area";traffic;35;51
Bavaria;DEBY053;Nürnberg/Bahnhof;"urban area";traffic;30;33
Bavaria;DEBY054;Nürnberg/Ziegelsteinstraße;"urban area";traffic;27;17
Bavaria;DEBY056;Fürth/Theresienstraße;"urban area";traffic;30;30
Bavaria;DEBY063;Regensburg/Rathaus;"urban area";traffic;32;37
Bavaria;DEBY076;Würzburg/Kardinal-Faulhaber-Platz;"urban area";traffic;28;30
Bavaria;DEBY085;München/Luise-Kiesselbach-Platz;"urban area";traffic;29;30
Bavaria;DEBY110;Augsburg/Karlstraße;"urban area";traffic;36;61
Bavaria;DEBY111;Bayreuth/Hohenzollernring;"urban area";traffic;35;54
Bavaria;DEBY114;München/Prinzregentenstraße;"urban area";traffic;32;40
Bavaria;DEBY115;"München/Landshuter Allee";"urban area";traffic;45;107
Bavaria;DEBY116;Erlangen/Pfarrstraße;"urban area";traffic;28;22
Bremen;DEHB006;Bremen-Dobben;"urban area";traffic;32;45
Bremen;DEHB007;"Bremen Verkehr 2";"urban area";traffic;40;82
Hesse;DEHE014;Kassel-Nord;"urban area";traffic;25;12
Hesse;DEHE031;Fulda;"urban area";traffic;23;7
Hesse;DEHE037;"Wiesbaden Ringkirche";"urban area";traffic;26;18
Hesse;DEHE040;"Darmstadt Hügelstraße";"urban area";traffic;34;42
Hesse;DEHE041;"Frankfurt Friedberger Landstraße";"urban area";traffic;33;48
Hesse;DEHE049;"Kassel Fünffensterstraße";"urban area";traffic;32;48
Hamburg;DEHH026;"Hamburg Stresemannstraße";"urban area";traffic;30;23
Hamburg;DEHH068;"Hamburg Habichtstraße";"urban area";traffic;34;45
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"urban area";traffic;30;18
"Mecklenburg-West Pomerania";DEMV002;Rostock;"urban area";traffic;25;15
"Mecklenburg-West Pomerania";DEMV003;Neubrandenburg;"urban area";traffic;24;19
"Mecklenburg-West Pomerania";DEMV005;Schwerin;"urban area";traffic;25;13
"Mecklenburg-West Pomerania";DEMV006;Stralsund;"urban area";traffic;26;22
"Lower Saxony";DENI048;"Hannover Verkehr";"urban area";traffic;37;62
"North Rhine-Westphalia";DENW043;"Essen-Ost Steeler Straße";"urban area";traffic;29;10
"North Rhine-Westphalia";DENW072;Düsseldorf-Mörsenbroich;"urban area";traffic;29;22
"North Rhine-Westphalia";DENW077;"Hagen Emilienplatz";"urban area";traffic;27;17
"North Rhine-Westphalia";DENW082;"Düsseldorf Corneliusstraße";"urban area";traffic;38;69
"North Rhine-Westphalia";DENW097;"Wuppertal Friedrich-Engels-Allee";"urban area";traffic;28;10
"North Rhine-Westphalia";DENW098;"Münster Friesenring";"urban area";traffic;26;10
"North Rhine-Westphalia";DENW099;"Aachen Kaiserplatz";"urban area";traffic;28;9
"North Rhine-Westphalia";DENW100;"Mönchengladbach Düsseldorfer Straße";"urban area";traffic;25;12
"North Rhine-Westphalia";DENW101;"Dortmund Steinstraße";"urban area";traffic;32;40
"North Rhine-Westphalia";DENW112;"Duisburg Kardinal-Galen-Straße";"urban area";traffic;32;46
"North Rhine-Westphalia";DENW133;"Hagen Graf-von-Galen-Ring";"urban area";traffic;31;16
"North Rhine-Westphalia";DENW134;"Essen Gladbecker Straße";"urban area";traffic;36;62
"North Rhine-Westphalia";DENW135;"Essen Hombrucher Straße";"urban area";traffic;34;40
"North Rhine-Westphalia";DENW136;"Dortmund Brackeler Straße";"urban area";traffic;40;82
"North Rhine-Westphalia";DENW140;"Bielefeld Osnabrücker Straße";"urban area";traffic;28;19
"North Rhine-Westphalia";DENW141;"Münster Steinfurter Straße";"urban area";traffic;33;33
"North Rhine-Westphalia";DENW145;"Köln Hohenstaufenring";"urban area";traffic;30;8
Rhineland-Palatinate;DERP010;Mainz-Parcusstraße;"urban area";traffic;34;47
Rhineland-Palatinate;DERP018;Speyer-St.-Guido-Stifts-Platz;"urban area";traffic;25;18
Rhineland-Palatinate;DERP020;Trier-Ostallee;"urban area";traffic;30;26
Rhineland-Palatinate;DERP023;Worms-Hagenstraße;"urban area";traffic;28;27
Rhineland-Palatinate;DERP024;Koblenz-Friedrich-Ebert-Ring;"urban area";traffic;23;10
Rhineland-Palatinate;DERP029;Koblenz-Zentralplatz;"urban area";traffic;29;20
Rhineland-Palatinate;DERP032;"Neuwied-Heddesdorfer Straße";"urban area";traffic;28;23
Rhineland-Palatinate;DERP036;"Trier Kaiserstraße";"urban area";traffic;27;18
Rhineland-Palatinate;DERP041;Ludwigshafen-Heinigstraße;"urban area";traffic;32;37
Saarland;DESL020;Saarbrücken-Verkehr;"urban area";traffic;28;18
Schleswig-Holstein;DESH022;Flensburg;"urban area";traffic;24;6
Schleswig-Holstein;DESH025;"Itzehoe Lindenstr.";"urban area";traffic;27;21
Schleswig-Holstein;DESH026;"Lübeck Gr. Burgstr.";"urban area";traffic;23;11
Schleswig-Holstein;DESH027;"Kiel-Bahnhofstr. Verk.";"urban area";traffic;26;7
Schleswig-Holstein;DESH028;Ratzeburg;"urban area";traffic;29;28
Saxony;DESN006;Borna;"urban area";traffic;29;31
Saxony;DESN020;Görlitz;"urban area";traffic;32;43
Saxony;DESN025;Leipzig-Mitte;"urban area";traffic;38;75
Saxony;DESN047;Zwickau;"urban area";traffic;25;18
Saxony;DESN060;Chemnitz-Nord;"urban area";traffic;27;23
Saxony;DESN061;Dresden-Nord;"urban area";traffic;34;52
Saxony;DESN075;Plauen-Süd;"urban area";traffic;28;33
Saxony;DESN077;"Leipzig Lützner Str.";"urban area";traffic;36;63
Saxony;DESN083;"Chemnitz-Leipziger Str.";"urban area";traffic;34;59
Saxony;DESN084;Dresden-Bergstr.;"urban area";traffic;33;42
Saxony-Anhalt;DEST057;Magdeburg/Südost;"urban area";traffic;27;22
Saxony-Anhalt;DEST075;"Halle/Merseburger Strasse";"urban area";traffic;32;51
Saxony-Anhalt;DEST076;Magdeburg/Damaschkeplatz;"urban area";traffic;28;21
Saxony-Anhalt;DEST081;Weißenfels/Promenade;"urban area";traffic;27;32
Saxony-Anhalt;DEST091;"Dessau Albrechtsplatz";"urban area";traffic;27;18
Saxony-Anhalt;DEST092;"Wittenberg/Dessauer Strasse";"urban area";traffic;31;42
Saxony-Anhalt;DEST095;Aschersleben;"urban area";traffic;32;38
