"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;26;30
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;21;10
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;26;20
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"urban area";traffic;25;17
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;24;18
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;23;11
Brandenburg;DEBB087;"Cottbus, W.-Külz-Str.";"urban area";traffic;24;19
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;24;17
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;28;31
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;28;26
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;27;22
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;25;23
Berlin;DEBE069;"Berlin Mariendorfer Damm";"urban area";traffic;29;23
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;22;8
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;26;23
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;27;15
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;28;29
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;28;30
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;38;78
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"urban area";traffic;27;31
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;25;19
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;22;12
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"urban area";traffic;29;31
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;28;31
Baden-Württemberg;DEBW138;"Ulm Zinglerstraße";"urban area";traffic;27;27
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"urban area";traffic;34;61
Baden-Württemberg;DEBW153;"Ulm Karlstraße";"urban area";traffic;27;29
Baden-Württemberg;DEBW156;"Schramberg Oberndorfer Straße";"urban area";traffic;23;14
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;23;12
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;27;22
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;21;12
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;21;11
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;20;9
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;22;14
Bavaria;DEBY037;München/Stachus;"urban area";traffic;26;14
