"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;42;95
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;41;76
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;38;61
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;27;17
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;35;54
Berlin;DEBE014;"Berlin Charlottenburg-Stadtautobahn (Sondermessstation)";"urban area";traffic;47;114
Berlin;DEBE044;"B Mitte-Parochialstr.";"urban area";traffic;37;68
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;41;80
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;43;95
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"urban area";traffic;29;34
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"urban area";traffic;31;40
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;33;35
Baden-Württemberg;DEBW096;Ulm-Straße;"urban area";traffic;34;31
Baden-Württemberg;DEBW097;Freiburg-Straße;"urban area";traffic;28;23
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;36;57
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;39;60
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;41;97
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;47;133
Bavaria;DEBY010;Bayreuth/Rathaus;"urban area";traffic;33;37
Bavaria;DEBY014;Coburg/Lossaustraße;"urban area";traffic;29;29
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;34;49
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;38;73
