"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;33;51
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;34;55
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"urban area";traffic;31;42
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;30;47
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;29;37
Brandenburg;DEBB087;"Cottbus, W.-Külz-Str.";"urban area";traffic;29;42
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;28;41
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;32;54
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;30;39
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;30;47
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;28;36
Berlin;DEBE069;"Berlin Mariendorfer Damm";"urban area";traffic;33;46
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;24;18
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;28;27
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;31;42
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;31;38
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;31;46
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;40;89
Baden-Württemberg;DEBW120;"Leonberg Grabenstraße";"urban area";traffic;30;42
Baden-Württemberg;DEBW121;"Pleidelsheim Beihinger Straße";"urban area";traffic;29;42
Baden-Württemberg;DEBW122;"Freiburg Schwarzwaldstraße";"urban area";traffic;24;10
Baden-Württemberg;DEBW126;"Karlsruhe Kriegsstraße";"urban area";traffic;25;22
Baden-Württemberg;DEBW134;"Stuttgart Waiblinger Straße";"urban area";traffic;31;54
Baden-Württemberg;DEBW135;"Herrenberg Hindenburger Straße";"urban area";traffic;26;18
Baden-Württemberg;DEBW136;"Tübingen Mühlstraße";"urban area";traffic;33;53
Baden-Württemberg;DEBW138;"Ulm Zinglerstraße";"urban area";traffic;29;33
Baden-Württemberg;DEBW147;"Reutlingen Lederstraße-Ost";"urban area";traffic;37;67
Baden-Württemberg;DEBW151;"Heidelberg Mittermaierstraße";"urban area";traffic;28;26
Baden-Württemberg;DEBW152;"Heilbronn Weinsberger Straße-Ost";"urban area";traffic;34;54
Baden-Württemberg;DEBW153;"Ulm Karlstraße";"urban area";traffic;30;37
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;24;21
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;30;38
Bavaria;DEBY010;Bayreuth/Rathaus;"urban area";traffic;21;16
Bavaria;DEBY014;Coburg/Lossaustraße;"urban area";traffic;22;20
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;23;17
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;25;28
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;25;23
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;24;26
Bavaria;DEBY037;München/Stachus;"urban area";traffic;31;35
Bavaria;DEBY053;Nürnberg/Bahnhof;"urban area";traffic;27;26
Bavaria;DEBY054;Nürnberg/Ziegelsteinstraße;"urban area";traffic;23;17
Bavaria;DEBY056;Fürth/Theresienstraße;"urban area";traffic;24;19
Bavaria;DEBY063;Regensburg/Rathaus;"urban area";traffic;27;34
Bavaria;DEBY076;Würzburg/Kardinal-Faulhaber-Platz;"urban area";traffic;22;17
Bavaria;DEBY110;Augsburg/Karlstraße;"urban area";traffic;29;35
Bavaria;DEBY111;Bayreuth/Hohenzollernring;"urban area";traffic;24;21
Bavaria;DEBY114;München/Prinzregentenstraße;"urban area";traffic;25;17
Bavaria;DEBY115;"München/Landshuter Allee";"urban area";traffic;36;48
Bavaria;DEBY119;"Würzburg/Stadtring Süd";"urban area";traffic;28;36
Bavaria;DEBY120;Nürnberg/Von-der-Tann-Straße;"urban area";traffic;28;32
Bremen;DEHB006;Bremen-Dobben;"urban area";traffic;31;44
Bremen;DEHB011;"Bremerhaven-Cherbourger Straße";"urban area";traffic;28;19
Hesse;DEHE037;"Wiesbaden Ringkirche";"urban area";traffic;25;25
Hesse;DEHE040;"Darmstadt Hügelstraße";"urban area";traffic;29;40
Hesse;DEHE041;"Frankfurt Friedberger Landstraße";"urban area";traffic;29;42
Hesse;DEHE049;"Kassel Fünffensterstraße";"urban area";traffic;30;30
Hesse;DEHE059;"Fulda Petersberger Straße";"urban area";traffic;27;31
Hesse;DEHE061;"Gießen Westanlage";"urban area";traffic;28;35
Hesse;DEHE062;"Marburg Universitätsstraße";"urban area";traffic;26;28
Hesse;DEHE063;"Heppenheim Lehrstraße";"urban area";traffic;25;31
Hesse;DEHE094;Reinheim;"urban area";traffic;27;26
Hamburg;DEHH026;"Hamburg Stresemannstraße";"urban area";traffic;27;32
Hamburg;DEHH068;"Hamburg Habichtstraße";"urban area";traffic;33;46
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"urban area";traffic;27;28
"Mecklenburg-West Pomerania";DEMV003;Neubrandenburg;"urban area";traffic;23;25
"Mecklenburg-West Pomerania";DEMV020;"Rostock Am Strande";"urban area";traffic;33;41
"Mecklenburg-West Pomerania";DEMV022;Rostock-Holbeinplatz;"urban area";traffic;27;28
"Mecklenburg-West Pomerania";DEMV023;Schwerin-Obotritenring;"urban area";traffic;23;23
"Lower Saxony";DENI048;"Hannover Verkehr";"urban area";traffic;26;24
"Lower Saxony";DENI067;Osnabrück-Verkehr;"urban area";traffic;28;28
