"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of daily mean values above 50 µg/m³"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;34;42
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;30;27
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;26;24
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;26;15
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"urban area";traffic;29;25
Berlin;DEBE014;"Berlin Charlottenburg-Stadtautobahn (Sondermessstation)";"urban area";traffic;36;61
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;34;38
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;34;41
Baden-Württemberg;DEBW001;Karlsruhe-Mitte;"urban area";traffic;24;14
Baden-Württemberg;DEBW011;Stuttgart-Zuffenhausen;"urban area";traffic;27;29
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;29;25
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;31;41
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;34;42
Bavaria;DEBY001;Ansbach/Residenzstraße;"urban area";traffic;31;46
Bavaria;DEBY006;Augsburg/Königsplatz;"urban area";traffic;38;73
Bavaria;DEBY010;Bayreuth/Rathaus;"urban area";traffic;25;20
Bavaria;DEBY014;Coburg/Lossaustraße;"urban area";traffic;25;16
Bavaria;DEBY021;Ingolstadt/Rechbergstraße;"urban area";traffic;26;29
Bavaria;DEBY028;"Kelheim/Regensburger Straße";"urban area";traffic;26;27
Bavaria;DEBY033;Landshut/Podewilsstraße;"urban area";traffic;26;29
Bavaria;DEBY035;"Lindau (Bodensee)/Friedrichshafener Straße";"urban area";traffic;29;42
Bavaria;DEBY037;München/Stachus;"urban area";traffic;37;60
Bavaria;DEBY053;Nürnberg/Bahnhof;"urban area";traffic;32;41
Bavaria;DEBY054;Nürnberg/Ziegelsteinstraße;"urban area";traffic;27;25
Bavaria;DEBY056;Fürth/Theresienstraße;"urban area";traffic;29;24
Bavaria;DEBY061;"Passau/Kleiner Exerzierplatz";"urban area";traffic;34;67
Bavaria;DEBY063;Regensburg/Rathaus;"urban area";traffic;32;49
Bavaria;DEBY076;Würzburg/Kardinal-Faulhaber-Platz;"urban area";traffic;29;34
Bavaria;DEBY085;München/Luise-Kiesselbach-Platz;"urban area";traffic;30;37
Bavaria;DEBY110;Augsburg/Karlstraße;"urban area";traffic;35;63
Bavaria;DEBY111;Bayreuth/Hohenzollernring;"urban area";traffic;33;44
Bavaria;DEBY114;München/Prinzregentenstraße;"urban area";traffic;32;8
Bavaria;DEBY115;"München/Landshuter Allee";"urban area";traffic;42;43
Bremen;DEHB006;Bremen-Dobben;"urban area";traffic;35;53
Bremen;DEHB007;"Bremen Verkehr 2";"urban area";traffic;39;66
Hesse;DEHE014;Kassel-Nord;"urban area";traffic;24;17
Hesse;DEHE029;Dillenburg;"urban area";traffic;31;40
Hesse;DEHE031;Fulda;"urban area";traffic;22;10
Hesse;DEHE037;"Wiesbaden Ringkirche";"urban area";traffic;24;13
Hesse;DEHE040;"Darmstadt Hügelstraße";"urban area";traffic;34;60
Hesse;DEHE041;"Frankfurt Friedberger Landstraße";"urban area";traffic;32;47
Hesse;DEHE049;"Kassel Fünffensterstraße";"urban area";traffic;33;35
Hamburg;DEHH026;"Hamburg Stresemannstraße";"urban area";traffic;29;20
Hamburg;DEHH070;"Hamburg Max-Brauer-Allee II (Straße)";"urban area";traffic;31;19
"Mecklenburg-West Pomerania";DEMV002;Rostock;"urban area";traffic;22;8
"Mecklenburg-West Pomerania";DEMV003;Neubrandenburg;"urban area";traffic;23;11
"Mecklenburg-West Pomerania";DEMV005;Schwerin;"urban area";traffic;23;4
"Mecklenburg-West Pomerania";DEMV006;Stralsund;"urban area";traffic;25;12
"Lower Saxony";DENI008;"Braunschweig Verkehr_alt";"urban area";traffic;39;76
"Lower Saxony";DENI048;"Hannover Verkehr";"urban area";traffic;38;59
"North Rhine-Westphalia";DENW043;"Essen-Ost Steeler Straße";"urban area";traffic;29;31
"North Rhine-Westphalia";DENW072;Düsseldorf-Mörsenbroich;"urban area";traffic;29;31
"North Rhine-Westphalia";DENW077;"Hagen Emilienplatz";"urban area";traffic;30;25
"North Rhine-Westphalia";DENW082;"Düsseldorf Corneliusstraße";"urban area";traffic;42;79
"North Rhine-Westphalia";DENW097;"Wuppertal Friedrich-Engels-Allee";"urban area";traffic;29;28
"North Rhine-Westphalia";DENW098;"Münster Friesenring";"urban area";traffic;26;19
"North Rhine-Westphalia";DENW099;"Aachen Kaiserplatz";"urban area";traffic;27;31
"North Rhine-Westphalia";DENW100;"Mönchengladbach Düsseldorfer Straße";"urban area";traffic;25;19
"North Rhine-Westphalia";DENW101;"Dortmund Steinstraße";"urban area";traffic;32;43
"North Rhine-Westphalia";DENW112;"Duisburg Kardinal-Galen-Straße";"urban area";traffic;32;39
"North Rhine-Westphalia";DENW134;"Essen Gladbecker Straße";"urban area";traffic;37;75
"North Rhine-Westphalia";DENW135;"Essen Hombrucher Straße";"urban area";traffic;35;46
"North Rhine-Westphalia";DENW136;"Dortmund Brackeler Straße";"urban area";traffic;42;91
"North Rhine-Westphalia";DENW137;"Hagen Wehringhauser Straße";"urban area";traffic;27;17
"North Rhine-Westphalia";DENW138;"Neuss Friedrichstraße";"urban area";traffic;30;35
Rhineland-Palatinate;DERP010;Mainz-Parcusstraße;"urban area";traffic;34;45
Rhineland-Palatinate;DERP018;Speyer-St.-Guido-Stifts-Platz;"urban area";traffic;26;27
Rhineland-Palatinate;DERP020;Trier-Ostallee;"urban area";traffic;30;28
Rhineland-Palatinate;DERP023;Worms-Hagenstraße;"urban area";traffic;28;30
Rhineland-Palatinate;DERP024;Koblenz-Friedrich-Ebert-Ring;"urban area";traffic;24;14
Rhineland-Palatinate;DERP029;Koblenz-Zentralplatz;"urban area";traffic;29;20
Rhineland-Palatinate;DERP032;"Neuwied-Heddesdorfer Straße";"urban area";traffic;31;36
Rhineland-Palatinate;DERP036;"Trier Kaiserstraße";"urban area";traffic;29;23
Rhineland-Palatinate;DERP041;Ludwigshafen-Heinigstraße;"urban area";traffic;37;71
Saxony;DESN006;Borna;"urban area";traffic;25;15
Saxony;DESN020;Görlitz;"urban area";traffic;27;26
Saxony;DESN025;Leipzig-Mitte;"urban area";traffic;31;32
Saxony;DESN047;Zwickau;"urban area";traffic;21;8
Saxony;DESN060;Chemnitz-Nord;"urban area";traffic;24;12
Saxony;DESN061;Dresden-Nord;"urban area";traffic;30;33
Saxony;DESN075;Plauen-Süd;"urban area";traffic;26;14
Saxony;DESN077;"Leipzig Lützner Str.";"urban area";traffic;34;49
Saxony-Anhalt;DEST057;Magdeburg/Südost;"urban area";traffic;28;26
Saxony-Anhalt;DEST075;"Halle/Merseburger Strasse";"urban area";traffic;31;47
Saxony-Anhalt;DEST076;Magdeburg/Damaschkeplatz;"urban area";traffic;26;17
Saxony-Anhalt;DEST081;Weißenfels/Promenade;"urban area";traffic;23;14
Saxony-Anhalt;DEST091;"Dessau Albrechtsplatz";"urban area";traffic;26;13
Saxony-Anhalt;DEST092;"Wittenberg/Dessauer Strasse";"urban area";traffic;29;32
Saxony-Anhalt;DEST095;Aschersleben;"urban area";traffic;26;23
Thuringia;DETH021;"Mühlhausen Brunnenstr.";"urban area";traffic;24;8
Thuringia;DETH039;"Weimar Sophienstiftsplatz";"urban area";traffic;23;11
Thuringia;DETH043;"Erfurt Bergstr.";"urban area";traffic;28;23
Thuringia;DETH072;"Suhl F.-König-Str";"urban area";traffic;22;6
Thuringia;DETH075;"Jena Westbahnhofstr.";"urban area";traffic;29;23
Hamburg;DEHH016;"Hamburg Billbrook";"urban area";industry;25;10
Hamburg;DEHH072;"Hamburg Finkenwerder West";"urban area";industry;20;3
"North Rhine-Westphalia";DENW021;Bottrop-Welheim;"urban area";industry;29;27
"North Rhine-Westphalia";DENW034;Duisburg-Walsum;"urban area";industry;30;40
"North Rhine-Westphalia";DENW102;Duisburg-Bruckhausen;"urban area";industry;37;58
"North Rhine-Westphalia";DENW106;Duisburg-Hüttenheim;"urban area";industry;36;66
"North Rhine-Westphalia";DENW115;Krefeld-Stahldorf;"urban area";industry;28;13
"North Rhine-Westphalia";DENW131;"Duisburg Kiebitzmühlenstraße";"urban area";industry;44;101
Rhineland-Palatinate;DERP003;Ludwigshafen-Mundenheim;"urban area";industry;26;22
Saarland;DESL003;"Dillingen City";"urban area";industry;24;16
Brandenburg;DEBB021;Potsdam-Zentrum;"urban area";background;23;10
Brandenburg;DEBB024;Senftenberg;"urban area";background;24;16
Brandenburg;DEBB064;Cottbus;"urban area";background;20;8
Berlin;DEBE010;"Berlin Wedding";"urban area";background;24;18
Berlin;DEBE018;"Berlin Schöneberg";"urban area";background;25;19
Berlin;DEBE034;"Berlin Neukölln";"urban area";background;26;17
Berlin;DEBE068;"Berlin Mitte";"urban area";background;27;21
Baden-Württemberg;DEBW007;Mannheim-Süd;"urban area";background;24;20
Baden-Württemberg;DEBW009;Heidelberg;"urban area";background;22;11
Baden-Württemberg;DEBW013;"Stuttgart-Bad Cannstatt";"urban area";background;23;14
Baden-Württemberg;DEBW015;Heilbronn;"urban area";background;24;16
Baden-Württemberg;DEBW019;Ulm;"urban area";background;23;12
Baden-Württemberg;DEBW032;Pforzheim-Mitte;"urban area";background;21;9
Baden-Württemberg;DEBW038;Friedrichshafen;"urban area";background;21;11
Baden-Württemberg;DEBW052;Konstanz;"urban area";background;24;21
Baden-Württemberg;DEBW081;Karlsruhe-Nordwest;"urban area";background;22;11
Baden-Württemberg;DEBW084;Freiburg;"urban area";background;19;9
Bavaria;DEBY007;Augsburg/Bourges-Platz;"urban area";background;27;32
Bavaria;DEBY009;Bamberg/Löwenbrücke;"urban area";background;26;23
Bavaria;DEBY032;Kulmbach/Konrad-Adenauer-Straße;"urban area";background;23;15
Bavaria;DEBY039;München/Lothstraße;"urban area";background;28;35
