city,h,c,p,r,s,g,T,P,V,T_equ,P_equ,V_equ,u_1,u_2,u_3,v_1,v_2,v_3,e_1,e_2,e_3
Berlin,0.03441834444880373,0.0007979764522774657,-0.002092974959278945,-0.0005541026724932737,0.671959785264576,-0.0007393468837878991,9.849523323371743,24.97435897435897,906.2927768692308,11.418948470962496,21.071484603133158,908.8559105327145,[0 0 1],"[-16.86762694+23.91742528j -33.74016487-14.09120081j
   1.         +0.j        ]","[-16.86762694-23.91742528j -33.74016487+14.09120081j
   1.         +0.j        ]",[0.01281424 0.02290936 1.        ],[-0.27095738+1.21960272j  1.        +0.j          0.        +0.j        ],[-0.27095738-1.21960272j  1.        +0.j          0.        +0.j        ],-0.0007393468837878991,(-0.005974893302755275-0.026893514197765606j),(-0.005974893302755275+0.026893514197765606j)
Bremen,-0.05930439698648599,-0.0011333659845784206,0.0027211402955635215,0.0005954240185932745,0.46876149566541253,-0.0003204952935916948,10.010284711545662,25.53846153846154,1460.1096610953844,11.449648023780705,27.95204293500852,1462.6158481522234,[0 0 1],"[-16.75865684-34.16578913j -45.51917744+13.64656512j
   1.         +0.j        ]","[-16.75865684+34.16578913j -45.51917744-13.64656512j
   1.         +0.j        ]",[0.00944837 0.01916206 1.        ],[-0.20480879-1.2318421j  1.        +0.j         0.        +0.j       ],[-0.20480879+1.2318421j  1.        +0.j         0.        +0.j       ],-0.0003204952935916948,(0.00778902465188223-0.04684783587419465j),(0.00778902465188223+0.04684783587419465j)
Dortmund,-0.09520291419312628,-0.048531927135363036,0.011605110917813846,0.07048559405416532,0.9812762281313528,-0.018510733401573113,10.214221354661504,25.692307692307693,53.021066866153845,11.914443833580806,27.02370842565454,53.01120203308423,[0 0 1],[-1.14456847-1.72447377j -1.54110863+0.47524923j  1.        +0.j        ],[-1.14456847+1.72447377j -1.54110863-0.47524923j  1.        +0.j        ],[0.18778927 0.54628626 1.        ],[-0.22044428-0.74735556j  1.        +0.j          0.        +0.j        ],[-0.22044428+0.74735556j  1.        +0.j          0.        +0.j        ],-0.018510733401573113,(0.034567110553192115-0.11719025981831772j),(0.034567110553192115+0.11719025981831772j)
Dresden,-0.026771445094501852,-0.0022372854409378863,-0.0010190005785615157,-0.0001279903485408626,1.0144228258642372,-0.0023542321000123937,9.102805927435842,30.846153846153847,430.81909597,1.5029800267262698,36.00968461875512,430.89329461564,[0 0 1],[ -8.43335725-0.j -10.36470969+0.j   1.        +0.j],[ 11.57474155-0.j -13.74240426-0.j   1.        +0.j],[-0.00394887  0.08322259  1.        ],[-1.22901347+0.j  1.        +0.j  0.        +0.j],[1.18727526+0.j 1.        +0.j 0.        +0.j],-0.0023542321000123937,(0.021782873535730215+0j),(-0.022548642294130453+0j)
Frankfurt,-0.024314692184997454,-0.0029327217367438943,0.0007171288195360853,0.00284694922698113,0.9967305944375396,-0.003920412537784993,10.474919241997602,24.46153846153846,253.72436045615385,32.913984762743425,30.665362419376653,254.24125263120547,[0 0 1],[-2.64254061-3.42776931j -6.17191919+1.82521758j  1.        +0.j        ],[-2.64254061+3.42776931j -6.17191919-1.82521758j  1.        +0.j        ],[0.1919387  0.15156271 1.        ],[-0.53666388-1.38683869j  1.        +0.j          0.        +0.j        ],[-0.53666388+1.38683869j  1.        +0.j          0.        +0.j        ],-0.003920412537784993,(0.005900891759783723-0.01524899532995801j),(0.005900891759783723+0.01524899532995801j)
Leipzig,-0.0004415795602008652,-0.0005145350754351897,-0.006326704996212958,-0.005892498582379552,0.9929781216867763,-0.003263604609677716,9.974155539048864,29.2051282051282,304.17133332692305,0.7993111647215764,354.5260605828988,304.2580950959111,[0 0 1],[-31.78838643-0.j  -0.66762788+0.j   1.        +0.j],[60.11155126-0.j -1.12695134-0.j  1.        +0.j],[-0.0897949   0.50156313  1.        ],[-0.02100226+0.j  1.        +0.j  0.        +0.j],[0.01874767+0.j 1.        +0.j 0.        +0.j],-0.003263604609677716,(0.021025337787691424+0j),(-0.02355384075737782+0j)
Mannheim,-0.0655223809900166,-0.015059231167599847,0.006977037966914928,0.019128119999411632,0.9900760484380068,-0.0095672775435982,10.856735660776085,21.53846153846154,103.46702949153845,11.928561446307862,23.784460826496638,103.4856618224169,[0 0 1],[-2.26750116-3.28958949j -3.3730763 +1.10819982j  1.        +0.j        ],[-2.26750116+3.28958949j -3.3730763 -1.10819982j  1.        +0.j        ],[0.10022054 0.24446714 1.        ],[-0.25076376-0.85252862j  1.        +0.j          0.        +0.j        ],[-0.25076376+0.85252862j  1.        +0.j          0.        +0.j        ],-0.0095672775435982,(0.0208065065253919-0.07073646773210174j),(0.0208065065253919+0.07073646773210174j)
München,-0.041705566944719,-0.0007905203885590057,0.01066636701261302,0.0024189370098155623,1.7067570133250263,-0.001066877304000979,9.408092832835253,28.46153846153846,1601.1377367392308,11.964346722271745,30.32328626232917,1599.76878964843,[0 0 1],"[-54.60903526-44.24396943j -31.47682683+16.82535954j
   1.         +0.j        ]","[-54.60903526+44.24396943j -31.47682683-16.82535954j
   1.         +0.j        ]",[0.00945554 0.01919668 1.        ],[-0.19727985-0.46794094j  1.        +0.j          0.        +0.j        ],[-0.19727985+0.46794094j  1.        +0.j          0.        +0.j        ],-0.001066877304000979,(0.03190402830147601-0.07567524478849556j),(0.03190402830147601+0.07567524478849556j)
Stuttgart,-0.041704938350397125,-0.003056957323039261,0.0001577827363256584,0.0018741770053971457,1.0076949697902884,-0.002908918411577463,9.862415674825957,22.076923076923077,346.67595083230765,162.05007241677959,25.39214809767603,346.41568693699816,[0 0 1],[-1.46216192-0.8223444j  -7.3476843 +2.14464862j  1.        +0.j        ],[-1.46216192+0.8223444j  -7.3476843 -2.14464862j  1.        +0.j        ],[0.8024247  0.12926875 1.        ],[-3.19094847-3.26140843j  1.        +0.j          0.        +0.j        ],[-3.19094847+3.26140843j  1.        +0.j          0.        +0.j        ],-0.002908918411577463,(0.006392175961922646-0.006533322849678123j),(0.006392175961922646+0.006533322849678123j)
